원어,순화어,분야,뜻,예문,주의,출처,replace_strategy,risk_level,status
고등교육법,고등교육법,법률,,사립은 반액 보조 가. 대학등의 범위 - 「고등교육법」 제2조 각 호의 학교 -「평생교육법」에 따,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
고용노동부와 그 소속기관 직제,고용노동부와 그 소속기관 직제,법률,,의2에 따른 청소년 비행예방센터의 장 아. 「고용노동부와 그 소속기관 직제」 제19조 및 제23조에 따른 지방고용노동청,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
공공보건의료에 관한 법률,공공보건의료에 관한 법률,법률,,경찰서의 청소년업무 담당 부서의 장 바. 「공공보건의료에 관한 법률」 제2조제3호에 따른 공공보건의료기관의 진료,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=2)",keep,high,review
국가경찰과 자치경찰의 조직 및 운영에 관한 법률,국가경찰과 자치경찰의 조직 및 운영에 관한 법률,법률,,중등교육법」 제2조에 따른 학교의 장 마. 「국가경찰과 자치경찰의 조직 및 운영에 관한 법률」 제13조에 따른 시･도경찰청 및 경찰서의,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
국가유공자 등 예우 및 지원에 관한 법률,국가유공자 등 예우 및 지원에 관한 법률,법률,,가 없는 것으로 봅니다. 1. 부양의무자가 「국가유공자 등 예우 및 지원에 관한 법률」 시행령 별표 2의 장애인장애구분표에 해당하,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=2)",keep,high,review
국가유공자 등 예우 및 지원에 관한 법률 시행령,국가유공자 등 예우 및 지원에 관한 법률 시행령,법률,,제2조에 따른 장애인 기준에 해당하는 자 「국가유공자 등 예우 및 지원에 관한 법률 시행령」 제14조제3항에 따른 상이등급 기준에 해당,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
국민 평생 직업능력 개발법,국민 평생 직업능력 개발법,법률,,을 받은 학습과정을 운영하는 교육훈련기관 -「국민 평생 직업능력 개발법」에 따라 학위과정을 운영하는 기능대학 포함,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
국민건강보험법,국민건강보험법,법률,,") (중증질환자, 희귀질환자, 중증난치질환자)국민건강보험법 시행령 제19조제1항 및 [별표2]에 따라",법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
국민건강보험 요양급여의 기준에 관한 규칙,국민건강보험 요양급여의 기준에 관한 규칙,법률,,건강보험등공적데이터로는수집되지않고있다.그리고「국민건강보험요양급여의기준에관한규칙」제10조(행위·치료재료의요양급여결정신청)에따,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
국민기초생활 보장법,국민기초생활 보장법,법률,,"황(장애유형 및 장애등급) ⑦ 수급권자 또는 국민기초생활보장법상 차상위계층 여부 ⑧ 4대보험(건강보험직장,",법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=5)",keep,high,review
노인장기요양보험법,노인장기요양보험법,법률,,부담금의 일부를 지원 코자 함.  지원 대상 노인장기요양보험법」(이하“법”이라 한다)제15조제2항에 따라,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
발달장애인법,발달장애인법,법률,,내용 ’26년 사업지침 개정안 알리는 글 ❍ 발달장애인법 제33조 및 제34조에 근거하여 발달장애인지,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
법무부와 그 소속기관 직제,법무부와 그 소속기관 직제,법률,,함 한다)의 의약업무 담당 부서의 장 사. 「법무부와 그 소속기관 직제」 제39조의2에 따른 청소년 비행예방센터의,법령·지침의 공식 명칭(고유명사)이므로 원어를 지우거나 다른 말로 바꾸지 않는다. 그대로 유지한다.,"코퍼스 추출(「」 표기, easy-doc/data/golden, doc_freq=1)",keep,high,review
