원어,순화어,분야,뜻,예문,주의,출처,replace_strategy,risk_level,status
시행령,법을 자세히 정한 대통령 규정,법률,국회가 만든 법률에서 정부(대통령)에 맡긴 자세한 내용을 정하는 규정입니다. 법률이 정한 범위 안에서만 정할 수 있습니다.,,"'법률'과 다른 급의 규정입니다. 법률이 더 상위이고, 시행령은 그 법률을 구체적으로 실행하기 위해 만든 하위 규정입니다. 법률 이름과 시행령 이름을 섞어 쓰면 어느 규정을 말하는지 불분명해집니다.","법제처 '재밌는 법상식(어린이 법제처)' 법령의 종류 — ""법률에서 위임한 사항을 정하는 하위규범이 대통령령, 총리령, 부령입니다"" (moleg.go.kr/menu.es?mid=a20503010000). '시행령'은 대통령령의 통칭.",gloss,low,review
시행규칙,법을 더 자세히 정한 부처 규정,법률,시행령보다 더 자세한 실무 내용을 각 부처(장관)가 정하는 규정입니다. 법률과 시행령의 범위를 벗어날 수 없습니다.,,"'시행령'과 다른 급의 규정입니다(시행령보다 한 단계 더 아래). 어느 부처가 정했는지에 따라 이름이 다를 수 있어(예: 보건복지부령), 법률·시행령·시행규칙을 같은 것으로 뭉뚱그리면 안 됩니다.","법제처 '재밌는 법상식(어린이 법제처)' 법령의 종류 — ""법률에서 위임한 사항을 정하는 하위규범이 대통령령, 총리령, 부령입니다"" (moleg.go.kr/menu.es?mid=a20503010000). '시행규칙'은 총리령·부령의 통칭.",gloss,low,review
조례,우리 지역 의회가 정한 규정,법률,"특별시·도·시·군·구 같은 지역(지방자치단체)이 법이 정한 범위 안에서, 그 지역 의회가 만드는 규정입니다. 그 지역에만 적용됩니다.",,"법률·시행령·시행규칙과 달리 전국이 아니라 해당 지역에만 적용됩니다. 다른 지역에서는 같은 이름의 조례라도 내용이 다를 수 있어, '조례'를 '법'과 같은 말로 바꾸면 적용 범위가 사라집니다.","법제처 '재밌는 법상식(어린이 법제처)' 법령의 종류 — ""지방자치단체가 법령의 범위 안에서 그 권한에 속하는 사무에 관하여 지방의회가 정하는 규범이 조례"" (moleg.go.kr/menu.es?mid=a20503010000)",gloss,low,review
의료기관,병원·의원처럼 치료해 주는 곳,의료,"의사·치과의사·한의사·조산사 같은 의료인이 사람들을 진료하거나 조산(출산을 돕는 일)을 하는 곳입니다. 병원, 의원, 보건소, 조산원 등이 여기에 속합니다.",우리 시는 동절기 호흡기 감염병 확산을 예방하기 위하여 2026년 10월 5일부터 관내 지정 의료기관 및 보건소에서 인플루엔자 예방접종을 무료로 시행합니다.,"'병원'만 가리키는 말이 아닙니다. 의원, 조산원 등도 포함하는 더 넓은 말이라, 문서에서 '의료기관'을 '병원'으로만 바꾸면 보건소나 의원에서 받는 서비스가 빠진 것처럼 보일 수 있습니다.","「의료법」 제3조(의료기관) — ""'의료기관'이란 의료인이 공중(公衆) 또는 특정 다수인을 위하여 의료·조산의 업(이하 '의료업'이라 한다)을 하는 곳을 말한다."" (국가법령정보센터 law.go.kr, 법률 데이터베이스 교차 확인)",gloss,low,review
발달장애,지적장애·자폐성장애를 함께 부르는 말,복지,어릴 때부터 생각하는 능력이나 사회적 어울림에 어려움이 있어 다른 사람의 도움이 필요한 장애를 통틀어 이르는 말입니다. 지적장애와 자폐성장애가 여기에 속합니다.,발달장애인 부모에게 발달장애인의 양육과 부양에 따른 심리적 부담 완화 및 가족기능 향상 도모를 위한 전문 심리상담을 지원합니다.,"'지적장애'나 '자폐성장애'와 같은 말이 아니라 그 둘을 포함하는 더 큰 범주입니다. 서비스 신청 시 어떤 유형인지에 따라 절차가 다를 수 있으므로, 세부 유형을 뭉뚱그려 쓰면 안 됩니다.","「발달장애인 권리보장 및 지원에 관한 법률」 제2조(정의) — ""'발달장애인'이란 「장애인복지법」 제2조제1항의 장애인으로서 다음 각 목의 장애인을 말한다. 가. 지적장애인: 정신 발육이 항구적으로 지체되어 지적 능력의 발달이 불충분하거나 불완전하여 자신의 일을 처리하는 것과 사회생활에 적응하는 것이 상당히 곤란한 사람. 나. 자폐성장애인: 소아기 자폐증, 비전형적 자폐증에 따른 언어·신체표현·자기조절·사회적응 기능 및 능력의 장애로 인하여 일상생활이나 사회생활에 상당한 제약을 받아 다른 사람의 도움이 필요한 사람."" (국가법령정보센터, 위키백과 교차 확인)",gloss,low,review
지방자치단체,특별시·도·시·군·구처럼 그 지역을 스스로 운영하는 곳,행정,"특별시, 광역시, 도, 특별자치시·도, 시, 군, 구처럼 나라 전체가 아니라 정해진 지역의 일을 스스로 맡아 처리하는 공공기관입니다.",,"'국가'(중앙정부)와 다릅니다. 지방자치단체가 하는 일과 중앙정부(예: 보건복지부)가 하는 일이 다를 수 있어, 문의처를 안내할 때 둘을 섞어 쓰면 엉뚱한 기관으로 연결될 수 있습니다.","「지방자치법」 제2조(지방자치단체의 종류) — 지방자치단체를 특별시·광역시·특별자치시·도·특별자치도, 그리고 시·군·구로 구분. 제3조제1항 — ""지방자치단체는 법인으로 한다."" (국가법령정보센터)",gloss,low,review
주민등록,어디에 사는지 나라에 등록하는 것,행정,내가 어디에 사는지 나라에 알려서 기록해 두는 것입니다. 30일 이상 살 목적으로 그 지역에 주소나 거소가 있으면 등록 대상이 됩니다.,실제 거주지와 주민등록 주소가 다른 경우 조사 기간 안에 정정 신고를 하여 주시기 바랍니다.,"'거주'(그냥 살고 있는 것)와는 다릅니다. 실제로 사는 곳과 주민등록상 주소가 다를 수 있고, 복지 급여는 흔히 주민등록 주소를 기준으로 판단하므로 실제 거주지와 혼동하면 안 됩니다.","「주민등록법」 제1조(목적) — 지방자치단체의 주민을 등록하게 하여 거주관계 등 인구의 동태를 파악. 제6조 — 주민을 ""30일 이상 거주할 목적으로 관할 구역에 주소나 거소를 가진 사람""으로 규정. (국가법령정보센터)",gloss,low,review
행정복지센터,주민센터(복지 상담을 더해 이름을 바꾼 곳),행정,예전 이름은 '주민센터'입니다. 복지 상담과 찾아가는 복지 서비스 기능을 강화하면서 2016년부터 이름을 '행정복지센터'로 바꾸었습니다. 하는 일은 크게 다르지 않습니다.,,"'주민센터'와 사실상 같은 곳을 가리키는 다른 이름입니다. 코퍼스에는 두 이름이 섞여 나오므로, 서로 다른 기관으로 오해하지 않도록 주의해야 합니다.","행정안전부 보도자료 ""읍면동 사무소가 주민을 위한 '행정복지센터'로 거듭납니다""(mois.go.kr) 및 관련 보도(korea.kr) — 행정안전부·보건복지부가 읍면동 주민센터 명칭을 행정복지센터로 전환(2016~2018년)",gloss,low,review
보건복지부,보건복지부,행정,,,"정부 부처의 공식 명칭(고유명사)이므로 다른 말로 바꾸지 않는다. 생활보호·자활지원·사회보장·아동·노인·장애인·보건위생 등에 관한 일을 맡는 중앙정부 기관입니다(참고용, 뜻풀이는 프롬프트에 넣지 않음).",「정부조직법」 제42조 — 보건복지부장관의 소관 사무(생활보호·자활지원·사회보장·아동·노인·장애인·보건위생·의정 및 약정 등),keep,low,review
국가유공자,"나라를 위해 다치거나 숨진 분, 특별한 공을 세운 분(과 가족)",복지,"전쟁이나 나랏일을 하다가 다치거나 숨진 군인·경찰관, 또는 나라 발전에 특별한 공을 세운 사람으로, 법에서 정한 여러 유형 중 하나에 해당해 나라의 예우와 지원을 받는 분입니다. 그 가족도 포함될 수 있습니다.","대상과 감면 금액  · 장애의 정도가 심한 장애인, 국가유공자: 월 1만 6천 원 한도(하절기 2만 원)  · 기초","[확인 필요] 법에는 전몰군경·전상군경·순직군경·공상군경 등 15개가 넘는 세부 유형이 있고, 유형별로 인정 요건과 지원 내용이 다릅니다. 이 뜻풀이는 그 유형들을 하나로 압축한 요약이라 실제 대상 여부 판단에는 쓸 수 없습니다. 정확한 유형 목록은 「국가유공자 등 예우 및 지원에 관한 법률」 제4조 원문 대조가 필요합니다.","「국가유공자 등 예우 및 지원에 관한 법률」 제4조(적용 대상 국가유공자) — 전몰군경·전상군경 등 각 호 요건 확인(국가법령정보센터·CaseNote·LBOX 법령 교차 확인, 전체 15개 호 중 일부만 확인)",gloss,low,review
