원어,순화어,분야,뜻,예문,주의,출처,replace_strategy,risk_level,status
급여,나라에서 주는 돈이나 도움,복지,"복지 제도에서 '급여'는 나라가 형편에 따라 주는 돈이나 서비스입니다. 생계급여, 주거급여, 의료급여, 교육급여처럼 종류가 나뉩니다.",,"일하고 받는 월급이 아닙니다. 일반 국어사전은 '일한 대가로 받는 돈'으로 풀지만, 복지 문서의 '급여'는 정반대로 나라가 지급하는 쪽입니다. 이 뜻을 잘못 잡으면 문서 전체가 어긋납니다. 앞에 붙는 말(생계·주거·의료·교육)이 종류를 정하므로 '급여'만 떼어 바꾸지 않습니다.","복지 핵심어. 「국민기초생활 보장법」 제7조(급여의 종류)",gloss,high,review
과태료,규칙을 안 지켜서 내는 돈,법률,"행정상의 의무를 지키지 않았을 때 내는 돈입니다. 범죄에 대한 처벌이 아닙니다.",,"'벌금'으로 바꾸면 안 됩니다. 벌금은 죄를 지어 받는 형벌이라 전과가 남지만, 과태료는 행정질서벌이라 전과가 남지 않습니다. 두 말을 섞으면 문서를 읽는 사람이 자신이 처벌받았다고 오해합니다. 금액과 납부 기한은 그대로 둡니다.",「질서위반행위규제법」 — 과태료는 행정질서벌로 형벌인 벌금·과료와 구별된다,gloss,high,review
부양의무자,돌볼 의무가 있는 가족,복지,"법이 정한, 신청인을 부양할 책임이 있는 가족입니다. 보통 부모와 자녀를 말합니다.",,"복지 신청에서 이 사람의 소득·재산이 심사에 함께 반영되는 경우가 있습니다. '가족'으로 뭉뚱그리면 누구의 소득을 보는지가 사라집니다. 제도마다 범위가 다르고 폐지·완화된 급여도 있으므로, 문서에 적힌 범위를 임의로 넓히거나 좁히지 않습니다.",「국민기초생활 보장법」 제2조 제5호,gloss,high,review
기준 중위소득,나라가 정한 기준 소득,복지,"복지 지원의 기준으로 쓰려고 나라가 해마다 정해 발표하는 소득 값입니다. 이 값의 몇 퍼센트인지로 받을 수 있는지를 정합니다.",,"'중위소득'과 다릅니다. 중위소득은 실제 가구 소득을 줄 세운 한가운데 값이고, 기준 중위소득은 그것을 바탕으로 나라가 정해 고시한 기준값입니다. '기준 중위소득 32%' 같은 퍼센트는 자격을 가르는 핵심 숫자이므로 반드시 그대로 둡니다.",「국민기초생활 보장법」 제2조 제11호,gloss,high,review
본인부담금,내가 내는 몫,복지,전체 비용 가운데 지원을 받고도 신청인이 직접 내야 하는 돈입니다.,,'부담금'만으로 줄이면 누가 내는 돈인지 사라집니다. 금액·비율은 그대로 둡니다. 2026-08-30 검수: substitute 승격 반려 — 병원비 고지서·청구서에 그대로 인쇄되는 표지어라 독자가 실물 문서에서 재인식해야 함. gloss 유지 (docs/consumer-overlap-policy.md §3.2),복지 안내문 상용어,gloss,low,active
이의신청,다시 판단해 달라고 요청하는 일,행정,"결정에 동의할 수 없을 때 정해진 기간 안에 다시 살펴 달라고 공식으로 요청하는 절차입니다.",,"기간이 법으로 정해져 있는 경우가 많습니다. '90일 이내' 같은 기한과 접수처는 한 글자도 바꾸지 않습니다. 기한을 놓치면 권리가 사라지므로, 문장을 줄이더라도 기한은 남깁니다.",행정 절차 상용어,gloss,high,review
보장기관,복지를 맡아 주는 관공서,복지,"급여를 결정하고 지급할 책임이 있는 관공서입니다. 보통 사는 곳의 시·군·구청과 읍면동 행정복지센터입니다.",,,「국민기초생활 보장법」 제2조 제4호,gloss,low,review
해산급여,아기를 낳을 때 주는 돈,복지,"수급자가 아기를 낳거나 낳을 때 드는 비용을 돕는 급여입니다.",,"'해산'을 흩어져 없어진다는 뜻으로 읽으면 안 됩니다. 여기서는 아이를 낳는다는 뜻입니다.",「국민기초생활 보장법」 제13조,gloss,high,review
장제급여,장례를 치를 때 주는 돈,복지,"수급자가 사망했을 때 장례 비용을 돕는 급여입니다.",,,「국민기초생활 보장법」 제14조,gloss,low,review
재산의 소득환산액,재산을 소득으로 바꿔 계산한 값,복지,"집이나 예금 같은 재산을 정해진 방식으로 소득처럼 환산한 금액입니다. 소득인정액을 구할 때 실제 소득에 더합니다.",,"실제로 매달 들어오는 돈이 아닙니다. 심사를 위해 계산해 낸 값입니다. '재산'이나 '소득'으로 줄이면 계산 과정이 사라져 왜 탈락했는지 설명할 수 없게 됩니다.",「국민기초생활 보장법」 제6조의3,gloss,high,review
산정,계산함,행정,정해진 방식에 따라 금액이나 값을 계산해 정하는 일입니다.,,"'계산'보다 좁은 뜻입니다. 기준과 방식이 정해져 있다는 점이 핵심이라, 방식을 설명하는 문장은 지우지 않습니다. 2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2)",행정 문서 상용어,substitute,none,active
공제,뺌,복지,전체 금액에서 정해진 몫을 빼 주는 일입니다. 소득을 계산할 때 일부를 빼 주면 그만큼 유리해집니다.,,빼앗는 것이 아니라 빼 주는 것입니다. 신청인에게 유리한 방향이라는 점이 오해되기 쉽습니다. 공제 항목과 금액은 그대로 둡니다. 2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),「국민기초생활 보장법 시행령」 소득 산정 규정,substitute,none,active
가구,함께 사는 식구,복지,"주민등록상 한집에 함께 사는 사람들의 묶음입니다. 복지 심사에서는 이 단위로 소득과 재산을 따집니다.",,"세간을 뜻하는 家具가 아니라 함께 사는 식구를 뜻하는 家口입니다. '4인 가구'는 '식구 네 명'이라는 뜻이고, 이 인원수가 기준 금액을 정하므로 숫자를 바꾸지 않습니다.","코퍼스 상용어(easy-doc/data/golden 다수 문서)",gloss,high,review
