원어,순화어,분야,뜻,예문,주의,출처,replace_strategy,risk_level,status
처분,관공서가 내리는 결정,법률,"관공서가 개인의 권리나 의무에 영향을 주는 결정을 내리는 일입니다. 지원 결정, 중지 결정, 환수 결정이 모두 처분입니다.",,"쓰레기를 버린다는 뜻의 '처분'이 아닙니다. 행정처분에는 이의신청·행정심판 같은 다툴 수 있는 절차가 따라붙으므로, 그 안내 문장을 지우면 권리를 알릴 길이 사라집니다.",「행정기본법」 제2조 제4호,gloss,high,review
고지,공식으로 알림,행정,"관공서가 결정한 내용을 당사자에게 공식으로 알리는 일입니다. 알린 날짜부터 이의신청 기간 같은 기한이 시작됩니다.",,"'높은 땅(高地)'이나 '공지'가 아닙니다. 언제 알렸는지가 기한의 출발점이라, 고지일·수령일 같은 날짜를 지우지 않습니다.",행정 절차 상용어,gloss,high,review
부과,매겨서 내게 함,행정,"관공서가 세금이나 과태료 같은 돈을 내도록 정해 매기는 일입니다.",,"'부여'와 다릅니다. 부여는 권리를 주는 쪽이고 부과는 의무를 지우는 쪽입니다. 금액과 납부 기한은 그대로 둡니다.",행정 절차 상용어,gloss,high,review
징수,거둬들임,행정,정해진 돈을 실제로 걷는 일입니다.,,'부과'는 내라고 정하는 단계이고 '징수'는 실제로 걷는 단계입니다. 두 말을 하나로 합치면 어느 단계인지 알 수 없게 됩니다. 2026-08-30 검수: easy-doc 내장 목록 대치어 채택으로 substitute 승격 (docs/consumer-overlap-policy.md §3.2),행정 절차 상용어,substitute,none,active
환급,도로 돌려받음,행정,"더 냈거나 잘못 낸 돈을 돌려받는 일입니다. 받는 사람에게 유리한 방향입니다.",,"'환수'와 방향이 반대입니다. 환급은 내가 돌려받는 것이고, 환수는 받았던 것을 나라가 도로 거둬 가는 것입니다. 두 말이 비슷하게 생겨서 뒤바뀌면 돈이 오가는 방향이 정반대가 됩니다.",행정 절차 상용어,gloss,high,review
환급하다,도로 돌려주다,행정,"더 냈거나 잘못 낸 돈을 돌려주는 일입니다. 받는 사람에게 유리한 방향입니다.",,"'환수하다'와 방향이 반대입니다. 환급은 돌려주는 것이고 환수는 도로 거둬 가는 것입니다. '지급하다'로 바꾸면 안 됩니다 — 지급은 새로 주는 것이고 환급은 냈던 돈을 되돌리는 것이라, 돈이 왜 오가는지가 사라집니다.",행정 절차 상용어,gloss,high,review
말소,기록을 지움,행정,"등록되어 있던 자격이나 기록을 공식으로 지우는 일입니다.",,"본인이 잘못해서 지워지는 경우도 있고 기간이 끝나 자동으로 지워지는 경우도 있습니다. 이유를 설명하는 문장을 함께 남깁니다.",행정 절차 상용어,gloss,high,review
상실,자격을 잃음,행정,"가지고 있던 자격이나 권리가 없어지는 일입니다.",,"'분실'과 다릅니다. 물건을 잃어버린 것이 아니라 자격이 없어진 것입니다. 언제부터 없어지는지와 다시 받을 수 있는지를 함께 남깁니다.",행정 절차 상용어,gloss,high,review
중지,잠시 멈춤,복지,"지급하던 급여나 서비스를 멈추는 일입니다.",,"'중단'이나 '종료'와 다를 수 있습니다. 중지는 조건이 다시 맞으면 재개될 수 있는 경우가 많습니다. 다시 받을 수 있는지를 설명하는 문장을 지우지 않습니다.",복지 안내문 상용어,gloss,high,review
소명,사정을 설명함,행정,"관공서의 판단에 대해 자기 사정이나 이유를 설명하는 일입니다.",,"'해명'과 비슷하지만 절차상 정해진 기회를 뜻하는 경우가 많습니다. 소명 기간과 제출처는 그대로 둡니다.",행정 절차 상용어,gloss,high,review
